85,1456,怡華,"1,042,725",341,"15,411,124",14.95,15.30,14.25,15.10,+,0.3,15.10,5,15.20,3,0.00,20210107
86,1457,宜進,"1,422,487",463,"22,075,769",15.50,15.70,15.40,15.45,+,0.1,15.40,77,15.45,13,5.48,20210107
87,1459,聯發,"218,102",86,"1,934,932",8.86,8.98,8.80,8.95,+,0.15,8.90,5,8.95,5,0.00,20210107
88,1460,宏遠,"1,296,745",514,"12,371,101",9.60,9.68,9.50,9.50,-,0.08,9.50,77,9.51,3,0.00,20210107
89,1463,強盛,"308,729",150,"4,185,375",13.75,13.80,13.40,13.55,-,0.1,13.55,26,13.60,15,64.52,20210107
90,1464,得力,"384,773",250,"7,066,623",18.55,18.60,18.25,18.45,+,0.1,18.40,4,18.45,9,369.00,20210107
91,1465,偉全,"108,999",68,"1,474,581",13.70,13.75,13.40,13.50,-,0.3,13.50,4,13.55,2,0.00,20210107
92,1466,聚隆,"898,916",457,"15,891,152",17.60,17.90,17.40,17.80,+,0.2,17.75,4,17.80,15,0.00,20210107
93,1467,南緯,"1,099,776",418,"21,499,935",19.25,19.85,19.25,19.30,+,0.15,19.30,23,19.35,1,0.00,20210107
94,1468,昶和,"58,000",37,"790,850",13.45,14.70,13.45,14.20, ,0.0,13.65,1,14.20,3,47.33,20210107
95,1470,大統新創,"58,000",3,"1,058,500",18.25,18.25,18.25,18.25,+,0.05,18.05,1,18.55,1,49.32,20210107
96,1471,首利,"221,759",95,"1,193,691",5.39,5.46,5.24,5.44,+,0.01,5.44,5,5.45,10,3.18,20210107
97,1472,三洋紡,"48,237",27,"479,750",9.91,10.00,9.90,10.00, ,0.0,9.97,1,10.20,2,0.00,20210107
98,1473,台南,"211,967",115,"3,842,036",18.10,18.20,18.10,18.15,+,0.05,18.10,26,18.20,19,0.00,20210107
99,1474,弘裕,"622,096",233,"7,898,262",12.70,12.85,12.65,12.70,-,0.05,12.70,9,12.75,19,14.94,20210107
100,1475,業旺,"10,131",15,"325,814",31.85,34.70,31.60,33.80,+,1.75,32.00,4,33.80,1,0.00,20210107
101,1476,儒鴻,"2,103,495","1,814","904,998,055",425.00,435.50,420.50,433.00,+,10.0,432.50,24,433.00,1,31.29,20210107
102,1477,聚陽,"1,578,980","1,367","298,115,984",187.00,190.50,186.00,190.50,+,5.0,190.00,3,190.50,25,21.00,20210107
103,1503,士電,"70,434",77,"3,500,903",49.90,49.95,49.50,49.95,+,0.55,49.70,1,49.95,10,15.51,20210107
104,1504,東元,"3,436,058","1,508","97,602,619",28.20,28.55,28.20,28.30,+,0.1,28.30,209,28.35,67,16.36,20210107
105,1506,正道,"108,691",54,"1,147,636",10.60,10.70,10.50,10.55, ,0.0,10.50,63,10.60,40,0.00,20210107
106,1507,永大,"72,130",58,"4,459,615",61.30,62.30,61.10,61.60,+,0.5,61.60,2,62.00,1,21.24,20210107
107,1512,瑞利,"116,466",34,"572,870",4.92,4.92,4.91,4.91,-,0.04,4.91,5,4.92,22,0.00,20210107
108,1513,中興電,"21,577,902","10,572","1,043,653,166",47.40,49.15,47.40,47.75,+,0.65,47.75,159,47.80,4,23.52,20210107
109,1514,亞力,"1,328,314",821,"34,059,401",25.20,25.80,25.20,25.70,+,0.7,25.65,9,25.70,2,16.27,20210107
110,1515,力山,"1,268,398",796,"93,297,281",72.70,74.40,72.30,73.70,+,1.3,73.60,13,73.70,13,20.42,20210107
111,1516,川飛,"413,866",240,"10,224,969",25.35,25.45,24.25,24.50,-,0.85,24.45,10,24.50,5,29.88,20210107
112,1517,利奇,"4,460,071","1,796","65,154,990",14.40,14.80,14.40,14.60,+,0.35,14.60,27,14.65,21,97.33,20210107
113,1519,華城,"3,638,769","2,364","176,283,288",46.95,49.45,46.95,47.80,+,0.95,47.80,19,47.85,1,25.03,20210107
114,1521,大億,"80,000",66,"4,469,100",56.50,56.50,55.40,56.00, ,0.0,56.00,2,56.10,1,28.57,20210107
115,1522,堤維西,"10,964,402","5,148","276,347,491",24.40,25.85,24.00,25.30,+,1.7,25.30,60,25.35,34,31.23,20210107
116,1524,耿鼎,"562,433",195,"5,698,227",10.05,10.30,10.00,10.25,+,0.2,10.15,7,10.25,23,25.62,20210107
117,1525,江申,"1,173,130",937,"85,106,587",71.00,74.50,70.30,72.20,+,2.8,72.10,7,72.20,1,18.14,20210107
118,1526,日馳,"795,684",511,"36,016,381",44.15,45.65,44.15,45.10,+,0.8,45.10,2,45.50,26,15.61,20210107
119,1527,鑽全,"358,951",273,"14,498,467",40.80,40.80,40.20,40.55,+,0.3,40.50,5,40.55,1,25.19,20210107
120,1528,恩德,"3,182,661","1,543","33,694,577",10.45,10.90,10.10,10.80,+,0.3,10.80,14,10.85,82,0.00,20210107
121,1529,樂士,"144,578",66,"2,434,699",16.55,17.00,16.55,16.95,+,0.55,16.95,1,17.00,5,18.42,20210107
122,1530,亞崴,"80,803",77,"2,681,514",33.00,33.30,33.00,33.15,+,0.15,33.10,1,33.15,2,9.29,20210107
123,1531,高林股,"258,042",138,"3,369,845",13.15,13.20,13.00,13.05,-,0.05,13.05,1,13.10,30,0.00,20210107
124,1532,勤美,"681,205",385,"21,849,871",31.95,32.40,31.80,32.40,+,0.85,32.35,8,32.40,9,51.43,20210107
125,1533,車王電,"1,553,036",721,"64,683,842",41.65,41.65,41.60,41.65,+,3.75,41.65,"5,403",--,0,70.59,20210107
126,1535,中宇,"53,897",43,"1,851,977",34.35,34.60,34.25,34.40,+,0.05,34.35,4,34.40,5,25.11,20210107
